"rows";"cols";"tiles";"n_tiles";"strategy";"n_simulations";"score";"solution_found";"n_tiles_placed";"created_on";"external_id"
"33";"39";"[[4, 1], [5, 1], [13, 1], [14, 1], [7, 2], [12, 3], [7, 4], [9, 4], [10, 4], [13, 4], [14, 4], [7, 5], [8, 6], [12, 6], [12, 9], [14, 9], [15, 9], [14, 10], [13, 11], [14, 13]]";"20";"max_depth";"100";"3.0";"False";"160437";"2020-03-19 09:04:55.639470+00:00";"23470"
"33";"39";"[[4, 1], [5, 1], [13, 1], [14, 1], [7, 2], [12, 3], [7, 4], [9, 4], [10, 4], [13, 4], [14, 4], [7, 5], [8, 6], [12, 6], [12, 9], [14, 9], [15, 9], [14, 10], [13, 11], [14, 13]]";"20";"avg_depth";"100";"4.0";"False";"206626";"2020-03-19 09:04:35.440082+00:00";"23470"
"33";"39";"[[13, 1], [4, 2], [10, 2], [11, 3], [12, 3], [13, 3], [12, 4], [12, 5], [13, 5], [14, 5], [11, 6], [12, 6], [10, 7], [11, 7], [12, 7], [9, 8], [10, 8], [11, 8], [12, 11], [14, 11]]";"20";"max_depth";"100";"2.0";"False";"113165";"2020-03-19 08:58:38.640413+00:00";"23367"
"33";"39";"[[13, 1], [4, 2], [10, 2], [11, 3], [12, 3], [13, 3], [12, 4], [12, 5], [13, 5], [14, 5], [11, 6], [12, 6], [10, 7], [11, 7], [12, 7], [9, 8], [10, 8], [11, 8], [12, 11], [14, 11]]";"20";"avg_depth";"100";"3.0";"False";"151073";"2020-03-19 08:58:03.623867+00:00";"23367"
"17";"55";"[[3, 1], [4, 1], [6, 1], [4, 2], [6, 2], [7, 2], [12, 2], [13, 4], [7, 5], [8, 5], [9, 5], [10, 5], [12, 5], [9, 6], [10, 6], [12, 6], [13, 6], [14, 7], [14, 8], [12, 9]]";"20";"max_depth";"100";"3.0";"False";"241350";"2020-03-19 08:50:52.859412+00:00";"23352"
"17";"55";"[[3, 1], [4, 1], [6, 1], [4, 2], [6, 2], [7, 2], [12, 2], [13, 4], [7, 5], [8, 5], [9, 5], [10, 5], [12, 5], [9, 6], [10, 6], [12, 6], [13, 6], [14, 7], [14, 8], [12, 9]]";"20";"avg_depth";"100";"3.0";"False";"267237";"2020-03-19 08:50:10.454404+00:00";"23352"
"40";"43";"[[7, 1], [13, 1], [14, 1], [4, 3], [11, 4], [10, 5], [8, 6], [13, 6], [11, 7], [10, 8], [12, 8], [10, 9], [13, 9], [11, 10], [12, 10], [14, 10], [12, 11], [14, 11], [13, 12], [14, 13]]";"20";"max_depth";"100";"2.0";"False";"145093";"2020-03-19 08:43:17.126749+00:00";"23344"
"40";"43";"[[7, 1], [13, 1], [14, 1], [4, 3], [11, 4], [10, 5], [8, 6], [13, 6], [11, 7], [10, 8], [12, 8], [10, 9], [13, 9], [11, 10], [12, 10], [14, 10], [12, 11], [14, 11], [13, 12], [14, 13]]";"20";"avg_depth";"100";"2.0";"False";"178370";"2020-03-19 08:42:51.562062+00:00";"23344"
"28";"42";"[[2, 1], [4, 1], [7, 1], [12, 1], [8, 2], [9, 2], [12, 3], [13, 3], [11, 4], [12, 4], [14, 4], [14, 5], [8, 7], [13, 7], [14, 7], [11, 8], [14, 8], [13, 9], [13, 10], [12, 11]]";"20";"max_depth";"100";"2.0";"False";"193245";"2020-03-19 08:35:40.386842+00:00";"23371"
"28";"42";"[[2, 1], [4, 1], [7, 1], [12, 1], [8, 2], [9, 2], [12, 3], [13, 3], [11, 4], [12, 4], [14, 4], [14, 5], [8, 7], [13, 7], [14, 7], [11, 8], [14, 8], [13, 9], [13, 10], [12, 11]]";"20";"avg_depth";"100";"2.0";"False";"239713";"2020-03-19 08:35:01.126405+00:00";"23371"
"28";"42";"[[4, 1], [5, 1], [11, 1], [12, 1], [14, 1], [12, 2], [4, 3], [5, 3], [12, 3], [8, 4], [13, 5], [14, 5], [9, 6], [8, 7], [14, 7], [12, 8], [12, 10], [13, 10], [14, 10], [14, 13]]";"20";"max_depth";"100";"1.0";"False";"225928";"2020-03-19 08:26:49.912387+00:00";"23343"
"28";"42";"[[4, 1], [5, 1], [11, 1], [12, 1], [14, 1], [12, 2], [4, 3], [5, 3], [12, 3], [8, 4], [13, 5], [14, 5], [9, 6], [8, 7], [14, 7], [12, 8], [12, 10], [13, 10], [14, 10], [14, 13]]";"20";"avg_depth";"100";"2.0";"False";"234865";"2020-03-19 08:26:43.488714+00:00";"23343"
"19";"55";"[[3, 1], [6, 1], [9, 1], [5, 2], [8, 2], [13, 2], [14, 2], [6, 3], [7, 3], [12, 3], [14, 3], [11, 4], [13, 4], [13, 5], [13, 6], [9, 8], [13, 8], [10, 9], [13, 11], [14, 13]]";"20";"max_depth";"100";"3.0";"False";"265520";"2020-03-19 08:17:38.410306+00:00";"23338"
"19";"55";"[[3, 1], [6, 1], [9, 1], [5, 2], [8, 2], [13, 2], [14, 2], [6, 3], [7, 3], [12, 3], [14, 3], [11, 4], [13, 4], [13, 5], [13, 6], [9, 8], [13, 8], [10, 9], [13, 11], [14, 13]]";"20";"avg_depth";"100";"3.0";"False";"306495";"2020-03-19 08:17:11.071619+00:00";"23338"
"33";"33";"[[5, 1], [9, 1], [14, 1], [5, 2], [10, 2], [11, 2], [13, 2], [4, 3], [6, 3], [10, 4], [8, 5], [11, 5], [14, 5], [12, 6], [14, 6], [8, 7], [12, 8], [10, 9], [14, 12], [14, 13]]";"20";"max_depth";"100";"3.0";"False";"162202";"2020-03-19 08:09:39.070761+00:00";"23336"
"33";"33";"[[5, 1], [9, 1], [14, 1], [5, 2], [10, 2], [11, 2], [13, 2], [4, 3], [6, 3], [10, 4], [8, 5], [11, 5], [14, 5], [12, 6], [14, 6], [8, 7], [12, 8], [10, 9], [14, 12], [14, 13]]";"20";"avg_depth";"100";"3.0";"False";"196424";"2020-03-19 08:09:31.614605+00:00";"23336"
"28";"46";"[[6, 1], [8, 1], [11, 1], [8, 2], [14, 2], [4, 3], [8, 3], [15, 3], [5, 4], [12, 4], [9, 5], [15, 5], [11, 6], [9, 7], [14, 7], [14, 8], [13, 9], [12, 11], [15, 12], [14, 13]]";"20";"max_depth";"100";"2.0";"False";"203586";"2020-03-19 08:02:46.839953+00:00";"23416"
"28";"46";"[[6, 1], [8, 1], [11, 1], [8, 2], [14, 2], [4, 3], [8, 3], [15, 3], [5, 4], [12, 4], [9, 5], [15, 5], [11, 6], [9, 7], [14, 7], [14, 8], [13, 9], [12, 11], [15, 12], [14, 13]]";"20";"avg_depth";"100";"2.0";"False";"231163";"2020-03-19 08:02:25.245697+00:00";"23416"
"28";"46";"[[2, 1], [8, 1], [6, 2], [11, 2], [8, 3], [12, 3], [8, 4], [14, 4], [8, 5], [9, 5], [11, 5], [12, 6], [10, 7], [11, 7], [9, 8], [11, 9], [12, 9], [12, 10], [13, 12], [14, 13]]";"20";"max_depth";"100";"3.0";"False";"175922";"2020-03-19 07:54:49.108196+00:00";"23329"
"28";"46";"[[2, 1], [8, 1], [6, 2], [11, 2], [8, 3], [12, 3], [8, 4], [14, 4], [8, 5], [9, 5], [11, 5], [12, 6], [10, 7], [11, 7], [9, 8], [11, 9], [12, 9], [12, 10], [13, 12], [14, 13]]";"20";"avg_depth";"100";"3.0";"False";"195794";"2020-03-19 07:54:38.845884+00:00";"23329"
"25";"44";"[[3, 1], [8, 1], [9, 1], [3, 2], [7, 2], [13, 2], [14, 2], [14, 3], [6, 4], [8, 4], [9, 4], [9, 5], [16, 5], [9, 6], [11, 7], [9, 8], [15, 8], [10, 9], [11, 10], [16, 14]]";"20";"max_depth";"100";"2.0";"False";"205476";"2020-03-19 07:47:16.565894+00:00";"23483"
"25";"44";"[[3, 1], [8, 1], [9, 1], [3, 2], [7, 2], [13, 2], [14, 2], [14, 3], [6, 4], [8, 4], [9, 4], [9, 5], [16, 5], [9, 6], [11, 7], [9, 8], [15, 8], [10, 9], [11, 10], [16, 14]]";"20";"avg_depth";"100";"2.0";"False";"236858";"2020-03-19 07:47:15.853216+00:00";"23483"
"25";"44";"[[6, 1], [10, 1], [3, 2], [4, 2], [6, 2], [10, 2], [7, 3], [11, 3], [10, 4], [11, 4], [13, 4], [14, 5], [9, 6], [11, 6], [8, 7], [12, 8], [13, 9], [14, 9], [12, 10], [13, 11]]";"20";"max_depth";"100";"2.0";"False";"177819";"2020-03-19 07:40:24.060416+00:00";"23327"
"25";"44";"[[6, 1], [10, 1], [3, 2], [4, 2], [6, 2], [10, 2], [7, 3], [11, 3], [10, 4], [11, 4], [13, 4], [14, 5], [9, 6], [11, 6], [8, 7], [12, 8], [13, 9], [14, 9], [12, 10], [13, 11]]";"20";"avg_depth";"100";"3.0";"False";"222962";"2020-03-19 07:39:55.983236+00:00";"23327"
"27";"52";"[[5, 1], [10, 1], [14, 2], [9, 3], [14, 3], [7, 4], [14, 4], [7, 5], [10, 5], [14, 5], [9, 6], [12, 6], [14, 6], [13, 7], [9, 8], [14, 9], [11, 10], [12, 10], [13, 12], [14, 12]]";"20";"max_depth";"100";"3.0";"False";"181862";"2020-03-19 07:33:57.684407+00:00";"23323"
"27";"52";"[[5, 1], [10, 1], [14, 2], [9, 3], [14, 3], [7, 4], [14, 4], [7, 5], [10, 5], [14, 5], [9, 6], [12, 6], [14, 6], [13, 7], [9, 8], [14, 9], [11, 10], [12, 10], [13, 12], [14, 12]]";"20";"avg_depth";"100";"3.0";"False";"191788";"2020-03-19 07:33:24.011463+00:00";"23323"
"32";"34";"[[6, 1], [11, 1], [13, 1], [3, 2], [4, 2], [7, 2], [5, 3], [14, 3], [7, 4], [13, 4], [9, 5], [12, 5], [7, 6], [12, 6], [9, 7], [10, 7], [11, 9], [13, 9], [13, 11], [14, 13]]";"20";"max_depth";"100";"4.0";"False";"157601";"2020-03-19 07:27:20.818907+00:00";"23322"
"32";"34";"[[6, 1], [11, 1], [13, 1], [3, 2], [4, 2], [7, 2], [5, 3], [14, 3], [7, 4], [13, 4], [9, 5], [12, 5], [7, 6], [12, 6], [9, 7], [10, 7], [11, 9], [13, 9], [13, 11], [14, 13]]";"20";"avg_depth";"100";"3.0";"False";"204140";"2020-03-19 07:27:01.927472+00:00";"23322"
"24";"47";"[[5, 1], [11, 1], [9, 2], [14, 2], [9, 3], [11, 3], [10, 4], [11, 4], [9, 5], [10, 5], [9, 6], [10, 6], [14, 6], [8, 7], [11, 7], [12, 7], [10, 8], [10, 9], [11, 10], [12, 11]]";"20";"max_depth";"100";"1.0";"False";"203125";"2020-03-19 07:21:09.891285+00:00";"23320"
"24";"47";"[[5, 1], [11, 1], [9, 2], [14, 2], [9, 3], [11, 3], [10, 4], [11, 4], [9, 5], [10, 5], [9, 6], [10, 6], [14, 6], [8, 7], [11, 7], [12, 7], [10, 8], [10, 9], [11, 10], [12, 11]]";"20";"avg_depth";"100";"1.0";"False";"232421";"2020-03-19 07:21:06.331362+00:00";"23320"
"17";"65";"[[4, 1], [14, 1], [3, 2], [7, 2], [10, 2], [12, 2], [5, 3], [8, 4], [9, 4], [11, 4], [14, 4], [11, 5], [11, 6], [13, 6], [9, 7], [10, 7], [12, 9], [14, 9], [12, 10], [14, 11]]";"20";"max_depth";"100";"2.0";"False";"246527";"2020-03-19 07:13:40.813643+00:00";"23314"
"17";"65";"[[4, 1], [14, 1], [3, 2], [7, 2], [10, 2], [12, 2], [5, 3], [8, 4], [9, 4], [11, 4], [14, 4], [11, 5], [11, 6], [13, 6], [9, 7], [10, 7], [12, 9], [14, 9], [12, 10], [14, 11]]";"20";"avg_depth";"100";"3.0";"False";"291380";"2020-03-19 07:13:30.022721+00:00";"23314"
"29";"53";"[[5, 1], [11, 1], [15, 1], [16, 1], [8, 2], [10, 2], [12, 2], [16, 3], [14, 4], [12, 5], [15, 5], [14, 6], [10, 7], [13, 7], [17, 7], [10, 8], [16, 9], [17, 9], [15, 14], [16, 15]]";"20";"max_depth";"100";"3.0";"False";"232992";"2020-03-19 07:07:04.019277+00:00";"23658"
"29";"53";"[[5, 1], [11, 1], [15, 1], [16, 1], [8, 2], [10, 2], [12, 2], [16, 3], [14, 4], [12, 5], [15, 5], [14, 6], [10, 7], [13, 7], [17, 7], [10, 8], [16, 9], [17, 9], [15, 14], [16, 15]]";"20";"avg_depth";"100";"2.0";"False";"278778";"2020-03-19 07:06:44.403327+00:00";"23658"
"29";"53";"[[8, 1], [9, 2], [7, 3], [9, 3], [9, 4], [14, 4], [9, 5], [11, 5], [11, 7], [14, 7], [9, 8], [11, 8], [13, 8], [14, 8], [11, 9], [12, 9], [13, 9], [14, 9], [13, 10], [14, 10]]";"20";"max_depth";"100";"2.0";"False";"147153";"2020-03-19 06:58:40.893502+00:00";"23300"
"29";"53";"[[8, 1], [9, 2], [7, 3], [9, 3], [9, 4], [14, 4], [9, 5], [11, 5], [11, 7], [14, 7], [9, 8], [11, 8], [13, 8], [14, 8], [11, 9], [12, 9], [13, 9], [14, 9], [13, 10], [14, 10]]";"20";"avg_depth";"100";"5.0";"False";"158123";"2020-03-19 06:58:09.461078+00:00";"23300"
"22";"43";"[[3, 1], [8, 1], [9, 1], [13, 1], [14, 1], [5, 2], [8, 2], [10, 2], [12, 2], [6, 3], [14, 3], [5, 4], [8, 4], [8, 5], [12, 6], [14, 6], [12, 7], [14, 10], [13, 11], [14, 11]]";"20";"max_depth";"100";"2.0";"False";"274654";"2020-03-19 06:51:00.369599+00:00";"23335"
"22";"43";"[[3, 1], [8, 1], [9, 1], [13, 1], [14, 1], [5, 2], [8, 2], [10, 2], [12, 2], [6, 3], [14, 3], [5, 4], [8, 4], [8, 5], [12, 6], [14, 6], [12, 7], [14, 10], [13, 11], [14, 11]]";"20";"avg_depth";"100";"2.0";"False";"275389";"2020-03-19 06:50:58.284968+00:00";"23335"
"22";"43";"[[4, 1], [5, 1], [10, 1], [7, 2], [8, 2], [10, 2], [13, 2], [11, 3], [12, 3], [14, 3], [6, 4], [10, 4], [11, 4], [12, 4], [14, 4], [12, 6], [10, 8], [14, 9], [12, 10], [13, 10]]";"20";"max_depth";"100";"2.0";"False";"226848";"2020-03-19 06:43:57.349242+00:00";"23299"
"22";"43";"[[4, 1], [5, 1], [10, 1], [7, 2], [8, 2], [10, 2], [13, 2], [11, 3], [12, 3], [14, 3], [6, 4], [10, 4], [11, 4], [12, 4], [14, 4], [12, 6], [10, 8], [14, 9], [12, 10], [13, 10]]";"20";"avg_depth";"100";"3.0";"False";"250950";"2020-03-19 06:43:40.696302+00:00";"23299"
"21";"61";"[[2, 1], [7, 1], [7, 3], [10, 3], [12, 3], [14, 3], [13, 4], [14, 4], [6, 5], [12, 5], [11, 6], [13, 6], [10, 7], [12, 7], [9, 8], [10, 9], [13, 9], [14, 9], [11, 10], [12, 11]]";"20";"max_depth";"100";"2.0";"False";"158321";"2020-03-19 06:35:51.336123+00:00";"23298"
"21";"61";"[[2, 1], [7, 1], [7, 3], [10, 3], [12, 3], [14, 3], [13, 4], [14, 4], [6, 5], [12, 5], [11, 6], [13, 6], [10, 7], [12, 7], [9, 8], [10, 9], [13, 9], [14, 9], [11, 10], [12, 11]]";"20";"avg_depth";"100";"4.0";"False";"209547";"2020-03-19 06:35:18.408247+00:00";"23298"
"17";"70";"[[14, 1], [3, 2], [5, 2], [12, 2], [15, 2], [7, 3], [8, 3], [12, 3], [14, 3], [5, 4], [8, 4], [11, 4], [14, 4], [13, 7], [14, 7], [10, 9], [11, 9], [12, 11], [15, 11], [13, 12]]";"20";"max_depth";"100";"2.0";"False";"282916";"2020-03-19 06:27:24.625786+00:00";"23450"
"17";"70";"[[14, 1], [3, 2], [5, 2], [12, 2], [15, 2], [7, 3], [8, 3], [12, 3], [14, 3], [5, 4], [8, 4], [11, 4], [14, 4], [13, 7], [14, 7], [10, 9], [11, 9], [12, 11], [15, 11], [13, 12]]";"20";"avg_depth";"100";"3.0";"False";"303839";"2020-03-19 06:27:15.253443+00:00";"23450"
"17";"70";"[[14, 1], [12, 2], [4, 3], [9, 3], [14, 3], [7, 4], [9, 4], [11, 4], [7, 5], [12, 5], [13, 5], [9, 6], [10, 6], [8, 7], [9, 7], [14, 7], [12, 8], [14, 9], [11, 10], [14, 10]]";"20";"max_depth";"100";"2.0";"False";"239164";"2020-03-19 06:20:30.535910+00:00";"23350"
"17";"70";"[[14, 1], [12, 2], [4, 3], [9, 3], [14, 3], [7, 4], [9, 4], [11, 4], [7, 5], [12, 5], [13, 5], [9, 6], [10, 6], [8, 7], [9, 7], [14, 7], [12, 8], [14, 9], [11, 10], [14, 10]]";"20";"avg_depth";"100";"3.0";"False";"256625";"2020-03-19 06:20:12.625015+00:00";"23350"
"17";"70";"[[3, 1], [4, 1], [9, 1], [14, 1], [9, 2], [14, 2], [9, 3], [10, 3], [12, 3], [13, 3], [14, 3], [8, 4], [13, 5], [13, 6], [13, 8], [10, 9], [12, 10], [14, 10], [13, 11], [14, 12]]";"20";"max_depth";"100";"2.0";"False";"300785";"2020-03-19 06:13:21.148758+00:00";"23296"
"17";"70";"[[3, 1], [4, 1], [9, 1], [14, 1], [9, 2], [14, 2], [9, 3], [10, 3], [12, 3], [13, 3], [14, 3], [8, 4], [13, 5], [13, 6], [13, 8], [10, 9], [12, 10], [14, 10], [13, 11], [14, 12]]";"20";"avg_depth";"100";"3.0";"False";"345029";"2020-03-19 06:13:01.541027+00:00";"23296"
"25";"53";"[[7, 1], [5, 3], [7, 3], [8, 3], [13, 3], [10, 4], [14, 4], [9, 5], [10, 5], [11, 5], [10, 6], [11, 6], [14, 6], [11, 7], [13, 7], [9, 8], [10, 9], [12, 9], [13, 11], [14, 13]]";"20";"max_depth";"100";"3.0";"False";"160951";"2020-03-19 06:04:53.283955+00:00";"23295"
"25";"53";"[[7, 1], [5, 3], [7, 3], [8, 3], [13, 3], [10, 4], [14, 4], [9, 5], [10, 5], [11, 5], [10, 6], [11, 6], [14, 6], [11, 7], [13, 7], [9, 8], [10, 9], [12, 9], [13, 11], [14, 13]]";"20";"avg_depth";"100";"6.0";"False";"167686";"2020-03-19 06:04:39.647220+00:00";"23295"
"19";"61";"[[8, 1], [13, 1], [13, 2], [6, 3], [8, 3], [13, 3], [14, 3], [5, 4], [8, 4], [14, 4], [10, 5], [11, 5], [14, 5], [10, 6], [13, 6], [10, 7], [13, 7], [12, 9], [13, 11], [13, 12]]";"20";"max_depth";"100";"2.0";"False";"257050";"2020-03-19 05:58:16.690396+00:00";"23294"
"19";"61";"[[8, 1], [13, 1], [13, 2], [6, 3], [8, 3], [13, 3], [14, 3], [5, 4], [8, 4], [14, 4], [10, 5], [11, 5], [14, 5], [10, 6], [13, 6], [10, 7], [13, 7], [12, 9], [13, 11], [13, 12]]";"20";"avg_depth";"100";"4.0";"False";"264017";"2020-03-19 05:58:00.436272+00:00";"23294"
"17";"71";"[[6, 1], [9, 1], [5, 2], [8, 2], [13, 2], [4, 3], [11, 3], [9, 4], [7, 5], [9, 5], [13, 5], [10, 6], [13, 6], [9, 7], [10, 7], [10, 8], [12, 8], [13, 9], [14, 12], [14, 13]]";"20";"max_depth";"100";"3.0";"False";"288829";"2020-03-19 05:50:03.173002+00:00";"23291"
"17";"71";"[[6, 1], [9, 1], [5, 2], [8, 2], [13, 2], [4, 3], [11, 3], [9, 4], [7, 5], [9, 5], [13, 5], [10, 6], [13, 6], [9, 7], [10, 7], [10, 8], [12, 8], [13, 9], [14, 12], [14, 13]]";"20";"avg_depth";"100";"3.0";"False";"285179";"2020-03-19 05:49:31.151006+00:00";"23291"
"30";"38";"[[3, 1], [14, 1], [8, 2], [10, 2], [4, 3], [6, 3], [10, 3], [14, 3], [12, 4], [14, 4], [10, 5], [14, 5], [13, 6], [9, 7], [9, 8], [10, 8], [14, 8], [11, 9], [13, 9], [14, 10]]";"20";"max_depth";"100";"3.0";"False";"154119";"2020-03-19 05:44:34.527923+00:00";"23288"
"30";"38";"[[3, 1], [14, 1], [8, 2], [10, 2], [4, 3], [6, 3], [10, 3], [14, 3], [12, 4], [14, 4], [10, 5], [14, 5], [13, 6], [9, 7], [9, 8], [10, 8], [14, 8], [11, 9], [13, 9], [14, 10]]";"20";"avg_depth";"100";"3.0";"False";"189438";"2020-03-19 05:44:28.704144+00:00";"23288"
"31";"37";"[[9, 1], [11, 1], [9, 2], [8, 3], [11, 3], [14, 3], [7, 4], [14, 4], [8, 5], [10, 5], [8, 6], [9, 6], [10, 6], [13, 6], [11, 7], [13, 7], [14, 7], [10, 9], [12, 9], [12, 11]]";"20";"max_depth";"100";"3.0";"False";"129670";"2020-03-19 05:38:27.784801+00:00";"23287"
"31";"37";"[[9, 1], [11, 1], [9, 2], [8, 3], [11, 3], [14, 3], [7, 4], [14, 4], [8, 5], [10, 5], [8, 6], [9, 6], [10, 6], [13, 6], [11, 7], [13, 7], [14, 7], [10, 9], [12, 9], [12, 11]]";"20";"avg_depth";"100";"2.0";"False";"202933";"2020-03-19 05:38:19.391369+00:00";"23287"
"19";"53";"[[2, 1], [4, 1], [5, 1], [8, 1], [12, 1], [5, 2], [6, 3], [10, 3], [13, 3], [6, 4], [11, 4], [11, 5], [12, 5], [8, 7], [12, 7], [14, 7], [11, 8], [12, 9], [13, 10], [12, 11]]";"20";"max_depth";"100";"2.0";"False";"238073";"2020-03-19 05:30:44.380035+00:00";"23284"
"19";"53";"[[2, 1], [4, 1], [5, 1], [8, 1], [12, 1], [5, 2], [6, 3], [10, 3], [13, 3], [6, 4], [11, 4], [11, 5], [12, 5], [8, 7], [12, 7], [14, 7], [11, 8], [12, 9], [13, 10], [12, 11]]";"20";"avg_depth";"100";"2.0";"False";"288992";"2020-03-19 05:30:27.855511+00:00";"23284"
"19";"48";"[[2, 1], [4, 1], [9, 1], [12, 1], [7, 2], [14, 2], [5, 3], [9, 3], [11, 3], [9, 4], [13, 4], [8, 5], [9, 5], [11, 5], [13, 5], [8, 6], [9, 7], [14, 7], [11, 10], [13, 12]]";"20";"max_depth";"100";"2.0";"False";"230210";"2020-03-19 05:24:57.858483+00:00";"23283"
"19";"48";"[[2, 1], [4, 1], [9, 1], [12, 1], [7, 2], [14, 2], [5, 3], [9, 3], [11, 3], [9, 4], [13, 4], [8, 5], [9, 5], [11, 5], [13, 5], [8, 6], [9, 7], [14, 7], [11, 10], [13, 12]]";"20";"avg_depth";"100";"2.0";"False";"265011";"2020-03-19 05:24:43.631697+00:00";"23283"
"31";"32";"[[4, 1], [12, 1], [7, 2], [6, 3], [9, 3], [5, 4], [6, 4], [7, 4], [8, 4], [11, 4], [11, 5], [13, 5], [8, 6], [10, 6], [12, 6], [8, 7], [13, 7], [13, 8], [12, 9], [11, 10]]";"20";"max_depth";"100";"3.0";"False";"137184";"2020-03-19 05:16:26.847133+00:00";"23276"
"31";"32";"[[4, 1], [12, 1], [7, 2], [6, 3], [9, 3], [5, 4], [6, 4], [7, 4], [8, 4], [11, 4], [11, 5], [13, 5], [8, 6], [10, 6], [12, 6], [8, 7], [13, 7], [13, 8], [12, 9], [11, 10]]";"20";"avg_depth";"100";"1.0";"False";"166609";"2020-03-19 05:16:15.675211+00:00";"23276"
"16";"64";"[[3, 1], [8, 1], [13, 1], [7, 2], [11, 2], [5, 3], [10, 3], [11, 3], [12, 3], [8, 4], [9, 4], [11, 4], [11, 5], [10, 6], [13, 6], [11, 7], [11, 8], [13, 9], [12, 10], [13, 11]]";"20";"max_depth";"100";"2.0";"False";"275919";"2020-03-19 05:08:30.361497+00:00";"23264"
