id,max_tile_length,num_tiles,board_width,board_height,tiles,tiles_placed
22700,8,20,25,15,"[{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":2},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":6,""Y"":5},{""X"":6,""Y"":4},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":1},{""X"":3,""Y"":1},{""X"":2,""Y"":1}]",1120
22701,8,20,24,16,"[{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":2},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":3},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":4},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":1},{""X"":3,""Y"":1}]",134
22702,8,20,41,10,"[{""X"":8,""Y"":7},{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":3},{""X"":8,""Y"":2},{""X"":8,""Y"":1},{""X"":7,""Y"":5},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":3},{""X"":6,""Y"":1},{""X"":5,""Y"":4},{""X"":5,""Y"":2},{""X"":4,""Y"":3},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":3,""Y"":1}]",196
22703,8,20,34,11,"[{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":3},{""X"":8,""Y"":2},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":3},{""X"":5,""Y"":4},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":4,""Y"":1},{""X"":3,""Y"":2}]",260
22704,8,20,47,8,"[{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":3},{""X"":8,""Y"":2},{""X"":8,""Y"":1},{""X"":7,""Y"":5},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":4},{""X"":6,""Y"":3},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":3,""Y"":2},{""X"":3,""Y"":1}]",116
22705,8,20,21,21,"[{""X"":8,""Y"":7},{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":3},{""X"":8,""Y"":2},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":3},{""X"":6,""Y"":2},{""X"":5,""Y"":4},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":3,""Y"":2},{""X"":2,""Y"":1}]",77
22706,8,20,30,12,"[{""X"":8,""Y"":6},{""X"":8,""Y"":3},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":4},{""X"":6,""Y"":2},{""X"":5,""Y"":4},{""X"":5,""Y"":3},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":3,""Y"":1},{""X"":2,""Y"":1}]",5489
22707,8,20,43,9,"[{""X"":8,""Y"":7},{""X"":8,""Y"":4},{""X"":8,""Y"":2},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":4},{""X"":6,""Y"":1},{""X"":5,""Y"":4},{""X"":5,""Y"":3},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":3,""Y"":2},{""X"":2,""Y"":1}]",2180
22708,8,20,22,18,"[{""X"":8,""Y"":7},{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":3},{""X"":8,""Y"":2},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":6,""Y"":5},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":3,""Y"":1},{""X"":2,""Y"":1}]",7629
22709,8,20,37,11,"[{""X"":8,""Y"":7},{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":2},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":4},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":4,""Y"":1},{""X"":3,""Y"":1},{""X"":2,""Y"":1}]",230
22710,8,20,33,12,"[{""X"":8,""Y"":7},{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":2},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":1},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":3,""Y"":1}]",52
22711,8,20,47,8,"[{""X"":8,""Y"":6},{""X"":8,""Y"":4},{""X"":8,""Y"":3},{""X"":8,""Y"":2},{""X"":7,""Y"":6},{""X"":7,""Y"":4},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":4},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":4},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":1},{""X"":3,""Y"":2}]",509
22712,8,20,49,8,"[{""X"":8,""Y"":7},{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":3},{""X"":8,""Y"":2},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":4},{""X"":6,""Y"":3},{""X"":6,""Y"":1},{""X"":5,""Y"":3},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":3,""Y"":2},{""X"":3,""Y"":1}]",23
22713,8,20,49,8,"[{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":6,""Y"":5},{""X"":6,""Y"":3},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":3,""Y"":2},{""X"":2,""Y"":1}]",78
22714,8,20,43,8,"[{""X"":8,""Y"":7},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":6,""Y"":5},{""X"":6,""Y"":4},{""X"":6,""Y"":3},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":3,""Y"":1},{""X"":2,""Y"":1}]",20
22715,8,20,37,10,"[{""X"":8,""Y"":7},{""X"":8,""Y"":4},{""X"":8,""Y"":3},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":6,""Y"":4},{""X"":6,""Y"":3},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":4},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":2},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":3,""Y"":1},{""X"":2,""Y"":1}]",38
22716,8,20,25,17,"[{""X"":8,""Y"":7},{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":3},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":3},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":4},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":3,""Y"":1}]",697
22717,8,20,43,8,"[{""X"":8,""Y"":7},{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":3},{""X"":8,""Y"":2},{""X"":8,""Y"":1},{""X"":7,""Y"":4},{""X"":7,""Y"":3},{""X"":6,""Y"":4},{""X"":6,""Y"":3},{""X"":6,""Y"":2},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":3,""Y"":1},{""X"":2,""Y"":1}]",39
22718,8,20,30,14,"[{""X"":8,""Y"":7},{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":3},{""X"":8,""Y"":2},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":4},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":4},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":2,""Y"":1}]",849
22719,8,20,35,12,"[{""X"":8,""Y"":7},{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":2},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":3},{""X"":6,""Y"":2},{""X"":5,""Y"":4},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":2,""Y"":1}]",29
22720,8,20,29,13,"[{""X"":8,""Y"":7},{""X"":8,""Y"":5},{""X"":8,""Y"":3},{""X"":8,""Y"":2},{""X"":7,""Y"":5},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":4},{""X"":6,""Y"":3},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":4},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":4,""Y"":1}]",22
22721,8,20,29,13,"[{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":3},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":3},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":4},{""X"":5,""Y"":3},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":3,""Y"":2},{""X"":2,""Y"":1}]",20
22722,8,20,20,17,"[{""X"":8,""Y"":7},{""X"":8,""Y"":5},{""X"":8,""Y"":3},{""X"":7,""Y"":5},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":4},{""X"":6,""Y"":3},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":4},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":3,""Y"":1}]",1649
22723,8,20,21,16,"[{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":3},{""X"":7,""Y"":1},{""X"":6,""Y"":4},{""X"":6,""Y"":3},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":4},{""X"":5,""Y"":3},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":3,""Y"":1},{""X"":2,""Y"":1}]",314
22724,8,20,53,8,"[{""X"":8,""Y"":7},{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":3},{""X"":8,""Y"":2},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":3},{""X"":7,""Y"":1},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":4},{""X"":5,""Y"":1},{""X"":4,""Y"":3},{""X"":4,""Y"":2},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":2,""Y"":1}]",30
22725,8,20,41,10,"[{""X"":8,""Y"":7},{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":5},{""X"":7,""Y"":4},{""X"":7,""Y"":2},{""X"":6,""Y"":3},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":4},{""X"":5,""Y"":3},{""X"":5,""Y"":2},{""X"":5,""Y"":1},{""X"":4,""Y"":2},{""X"":4,""Y"":1},{""X"":3,""Y"":2},{""X"":3,""Y"":1}]",35
22726,8,20,36,12,"[{""X"":8,""Y"":7},{""X"":8,""Y"":6},{""X"":8,""Y"":5},{""X"":8,""Y"":4},{""X"":8,""Y"":3},{""X"":8,""Y"":2},{""X"":8,""Y"":1},{""X"":7,""Y"":6},{""X"":7,""Y"":3},{""X"":7,""Y"":2},{""X"":7,""Y"":1},{""X"":6,""Y"":5},{""X"":6,""Y"":4},{""X"":6,""Y"":3},{""X"":6,""Y"":2},{""X"":6,""Y"":1},{""X"":5,""Y"":4},{""X"":5,""Y"":1},{""X"":3,""Y"":2},{""X"":3,""Y"":1}]",543
