"rows";"cols";"tiles";"n_tiles"
"38";"27";"[[1, 1], [2, 1], [4, 1], [10, 1], [12, 1], [12, 1], [14, 1], [20, 1], [24, 1], [23, 2], [25, 2], [37, 2], [7, 3], [23, 4], [6, 5], [18, 5], [10, 6], [14, 6], [20, 7], [24, 10]]";"20"
"26";"39";"[[1, 1], [2, 1], [8, 1], [10, 1], [10, 1], [16, 1], [16, 1], [16, 1], [10, 2], [10, 2], [16, 2], [16, 2], [19, 2], [9, 3], [16, 3], [14, 4], [14, 5], [9, 8], [14, 10], [38, 10]]";"20"
"21";"35";"[[2, 1], [2, 1], [3, 1], [5, 1], [5, 1], [8, 1], [9, 1], [14, 1], [16, 1], [6, 2], [8, 2], [9, 2], [16, 2], [19, 2], [19, 2], [19, 2], [9, 3], [35, 5], [13, 9], [16, 10]]";"20"
"29";"18";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [11, 1], [11, 1], [13, 1], [13, 1], [16, 1], [8, 2], [11, 2], [4, 3], [16, 3], [6, 4], [8, 4], [13, 6], [11, 8], [16, 8]]";"20"
"10";"21";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [4, 1], [10, 1], [14, 1], [15, 1], [19, 1], [20, 1], [2, 2], [7, 2], [9, 2], [9, 2], [6, 3], [15, 3]]";"20"
"16";"28";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [4, 1], [5, 1], [5, 1], [7, 1], [18, 1], [4, 3], [6, 4], [6, 4], [18, 4], [22, 4], [8, 6], [10, 6], [12, 6]]";"20"
"26";"40";"[[1, 1], [1, 1], [7, 1], [8, 1], [14, 1], [16, 1], [40, 1], [40, 1], [16, 2], [16, 2], [16, 2], [4, 4], [4, 4], [22, 5], [8, 6], [10, 7], [8, 8], [21, 8], [16, 10], [15, 11]]";"20"
"17";"31";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [5, 1], [5, 1], [6, 1], [6, 1], [8, 1], [16, 1], [20, 1], [20, 1], [21, 1], [16, 2], [6, 5], [20, 6], [9, 8], [20, 8]]";"20"
"32";"27";"[[2, 1], [4, 1], [5, 1], [6, 1], [9, 1], [11, 1], [16, 1], [16, 1], [17, 1], [3, 2], [4, 3], [16, 3], [16, 4], [16, 4], [17, 4], [16, 5], [16, 6], [16, 6], [10, 9], [14, 11]]";"20"
"32";"21";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [5, 1], [7, 1], [8, 1], [8, 1], [8, 1], [12, 1], [13, 1], [16, 1], [8, 2], [16, 2], [18, 8], [19, 8], [16, 15]]";"20"
"20";"12";"[[1, 1], [1, 1], [3, 1], [4, 1], [4, 1], [5, 1], [6, 1], [9, 1], [13, 1], [15, 1], [16, 1], [16, 1], [3, 2], [4, 2], [4, 2], [5, 2], [8, 2], [16, 2], [4, 3], [11, 5]]";"20"
"16";"20";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [4, 1], [4, 1], [4, 1], [4, 1], [6, 1], [9, 1], [14, 1], [16, 1], [2, 2], [16, 4], [19, 4], [10, 5], [9, 6]]";"20"
"17";"23";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [4, 1], [4, 1], [4, 1], [5, 1], [8, 1], [9, 1], [10, 1], [16, 1], [16, 1], [19, 2], [19, 3], [19, 11]]";"20"
"31";"12";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [3, 1], [5, 1], [5, 1], [8, 1], [9, 1], [13, 1], [14, 1], [15, 1], [16, 1], [9, 2], [8, 3], [7, 4], [9, 6], [15, 10]]";"20"
"38";"34";"[[2, 1], [2, 1], [8, 1], [8, 1], [24, 1], [2, 2], [10, 2], [10, 2], [13, 2], [17, 2], [18, 2], [24, 2], [25, 2], [6, 4], [7, 6], [12, 6], [25, 6], [20, 10], [16, 12], [22, 15]]";"20"
"12";"14";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [3, 1], [3, 1], [3, 1], [4, 1], [4, 1], [6, 1], [6, 1], [6, 1], [10, 1], [10, 1], [14, 1], [4, 2], [14, 3], [10, 4]]";"20"
"15";"32";"[[1, 1], [1, 1], [2, 1], [3, 1], [4, 1], [7, 1], [8, 1], [8, 1], [9, 1], [12, 1], [20, 1], [21, 1], [25, 1], [8, 3], [32, 3], [8, 4], [9, 4], [9, 5], [9, 6], [9, 8]]";"20"
"35";"25";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [8, 1], [10, 1], [10, 1], [12, 1], [15, 1], [3, 2], [8, 3], [13, 3], [7, 4], [16, 4], [10, 5], [16, 6], [9, 7], [25, 10], [15, 13]]";"20"
"35";"17";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [18, 1], [24, 1], [32, 1], [7, 2], [34, 2], [32, 3], [34, 4], [34, 5]]";"20"
"18";"27";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [3, 1], [7, 1], [7, 1], [7, 1], [14, 1], [16, 1], [20, 1], [6, 2], [16, 4], [6, 6], [8, 6], [16, 15]]";"20"
"36";"38";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [9, 1], [12, 1], [13, 1], [25, 1], [33, 1], [25, 2], [37, 2], [25, 3], [6, 5], [20, 5], [25, 5], [20, 6], [37, 8], [20, 20]]";"20"
"27";"26";"[[1, 1], [1, 1], [2, 1], [3, 1], [4, 1], [4, 1], [7, 1], [8, 1], [9, 1], [11, 1], [4, 2], [6, 2], [11, 2], [4, 3], [7, 4], [7, 6], [11, 6], [16, 7], [11, 10], [16, 15]]";"20"
"23";"22";"[[1, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [6, 1], [9, 1], [9, 1], [13, 1], [16, 1], [16, 1], [21, 1], [2, 2], [2, 2], [2, 2], [7, 2], [16, 3], [22, 6], [14, 14]]";"20"
"40";"12";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [4, 1], [4, 1], [6, 1], [7, 1], [7, 1], [10, 1], [10, 1], [16, 1], [23, 2], [23, 3], [7, 4], [16, 4], [14, 5], [19, 7]]";"20"
"22";"10";"[[1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [3, 1], [4, 1], [4, 1], [4, 1], [4, 1], [6, 1], [7, 1], [8, 1], [9, 1], [11, 1], [16, 2], [16, 2], [4, 3], [7, 3], [11, 5]]";"20"
"24";"22";"[[1, 1], [1, 1], [4, 1], [4, 1], [4, 1], [4, 1], [8, 1], [12, 1], [14, 1], [16, 1], [20, 1], [20, 1], [20, 1], [4, 3], [6, 3], [7, 3], [16, 3], [5, 4], [15, 4], [17, 13]]";"20"
"39";"22";"[[4, 1], [4, 1], [6, 1], [6, 1], [8, 1], [13, 1], [16, 1], [17, 1], [18, 1], [22, 1], [22, 1], [38, 1], [4, 2], [9, 2], [13, 2], [11, 4], [13, 4], [38, 5], [11, 9], [19, 13]]";"20"
"15";"11";"[[1, 1], [2, 1], [2, 1], [3, 1], [4, 1], [4, 1], [5, 1], [5, 1], [5, 1], [6, 1], [6, 1], [7, 1], [4, 2], [4, 2], [5, 2], [5, 2], [6, 2], [9, 3], [5, 4], [5, 4]]";"20"
"18";"14";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [10, 1], [16, 1], [16, 1], [16, 1], [12, 2], [14, 2], [16, 3], [16, 4]]";"20"
"31";"24";"[[1, 1], [1, 1], [1, 1], [1, 1], [4, 1], [5, 1], [7, 1], [10, 1], [10, 1], [15, 1], [11, 2], [15, 2], [6, 3], [6, 4], [9, 4], [15, 6], [7, 7], [10, 9], [15, 10], [15, 12]]";"20"
"13";"15";"[[1, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [4, 1], [5, 1], [9, 1], [2, 2], [2, 2], [3, 2], [3, 2], [4, 2], [4, 2], [3, 3], [8, 3], [9, 3], [5, 5], [7, 6]]";"20"
"22";"14";"[[1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [4, 1], [4, 1], [6, 1], [6, 1], [6, 1], [14, 1], [3, 2], [3, 2], [3, 2], [6, 2], [6, 2], [16, 13]]";"20"
"11";"33";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [5, 1], [6, 1], [22, 1], [22, 1], [29, 1], [29, 1], [5, 3], [6, 3], [22, 3], [6, 4], [20, 4], [7, 5]]";"20"
"15";"25";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [3, 1], [4, 1], [7, 1], [8, 1], [9, 1], [15, 1], [3, 2], [10, 2], [6, 4], [13, 4], [15, 4], [15, 5], [9, 9]]";"20"
"21";"27";"[[1, 1], [2, 1], [2, 1], [2, 1], [4, 1], [4, 1], [7, 1], [7, 1], [7, 1], [9, 1], [10, 1], [7, 2], [9, 2], [4, 3], [7, 4], [6, 5], [16, 5], [16, 6], [12, 7], [15, 10]]";"20"
"12";"32";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [4, 1], [5, 1], [6, 1], [15, 1], [21, 1], [22, 1], [22, 2], [22, 3], [12, 4], [20, 4], [10, 6]]";"20"
"29";"16";"[[2, 1], [4, 1], [4, 1], [5, 1], [6, 1], [6, 1], [7, 1], [11, 1], [13, 1], [13, 1], [13, 1], [15, 1], [15, 1], [15, 1], [6, 2], [15, 2], [5, 4], [7, 6], [11, 6], [15, 11]]";"20"
"35";"36";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [3, 1], [3, 1], [5, 1], [7, 1], [10, 1], [12, 1], [34, 1], [21, 2], [34, 2], [12, 5], [28, 12], [32, 21]]";"20"
"35";"39";"[[1, 1], [1, 1], [5, 1], [8, 1], [10, 1], [10, 1], [10, 1], [14, 1], [24, 1], [24, 1], [34, 2], [25, 3], [9, 4], [11, 4], [25, 4], [11, 5], [34, 6], [25, 10], [25, 10], [16, 11]]";"20"
"35";"29";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [6, 1], [7, 1], [8, 1], [25, 1], [34, 1], [34, 10], [34, 17]]";"20"
"23";"13";"[[1, 1], [2, 1], [4, 1], [4, 1], [7, 1], [7, 1], [12, 1], [13, 1], [16, 1], [4, 2], [4, 2], [4, 2], [7, 2], [12, 2], [12, 2], [13, 2], [3, 3], [16, 3], [4, 4], [12, 4]]";"20"
"35";"14";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [4, 1], [4, 1], [7, 1], [8, 1], [9, 1], [24, 1], [32, 1], [4, 2], [12, 2], [13, 2], [16, 2], [21, 3], [24, 7], [9, 8]]";"20"
"36";"18";"[[1, 1], [2, 1], [3, 1], [4, 1], [4, 1], [4, 1], [6, 1], [8, 1], [9, 1], [9, 1], [13, 1], [25, 1], [29, 1], [35, 1], [35, 1], [35, 2], [35, 3], [29, 4], [35, 4], [6, 5]]";"20"
"18";"15";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [9, 1], [16, 2], [16, 2], [16, 4], [7, 5], [11, 7]]";"20"
"29";"35";"[[1, 1], [5, 1], [6, 1], [9, 1], [13, 1], [13, 1], [13, 1], [16, 1], [5, 2], [13, 2], [5, 4], [6, 5], [9, 5], [21, 5], [7, 6], [9, 6], [16, 6], [16, 8], [30, 8], [13, 11]]";"20"
"27";"39";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [7, 1], [11, 1], [11, 1], [15, 1], [16, 1], [4, 2], [11, 2], [5, 4], [10, 4], [11, 7], [16, 8], [16, 11], [28, 11], [16, 13]]";"20"
"21";"15";"[[1, 1], [2, 1], [2, 1], [3, 1], [3, 1], [5, 1], [6, 1], [6, 1], [12, 1], [2, 2], [2, 2], [2, 2], [3, 2], [3, 3], [4, 3], [7, 3], [16, 3], [5, 4], [9, 7], [12, 7]]";"20"
"30";"19";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [4, 1], [4, 1], [5, 1], [5, 1], [6, 1], [9, 1], [9, 1], [12, 1], [16, 1], [14, 2], [15, 2], [16, 2], [16, 2], [15, 11], [16, 13]]";"20"
"38";"19";"[[3, 1], [4, 1], [4, 1], [6, 1], [7, 1], [8, 1], [11, 1], [11, 1], [18, 1], [19, 1], [25, 1], [16, 2], [7, 3], [18, 3], [10, 4], [14, 4], [16, 4], [37, 4], [13, 5], [21, 6]]";"20"
"35";"19";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [5, 1], [9, 1], [19, 1], [24, 1], [25, 1], [25, 1], [34, 1], [25, 3], [34, 3], [6, 4], [6, 4], [9, 4], [34, 4], [24, 5]]";"20"
"16";"33";"[[1, 1], [1, 1], [2, 1], [2, 1], [6, 1], [6, 1], [6, 1], [14, 1], [20, 1], [29, 1], [3, 2], [5, 2], [3, 3], [4, 3], [4, 3], [9, 3], [12, 4], [21, 4], [22, 4], [29, 5]]";"20"
"10";"18";"[[1, 1], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [3, 1], [4, 1], [4, 1], [5, 1], [5, 1], [7, 1], [13, 1], [3, 2], [6, 2], [18, 2], [4, 3], [7, 3], [6, 6]]";"20"
"20";"37";"[[1, 1], [4, 1], [4, 1], [4, 1], [4, 1], [6, 1], [8, 1], [9, 1], [16, 1], [16, 1], [24, 1], [2, 2], [14, 2], [16, 2], [16, 2], [37, 3], [6, 4], [21, 4], [11, 7], [21, 12]]";"20"
"11";"37";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [5, 1], [5, 1], [6, 1], [7, 1], [16, 1], [16, 1], [33, 1], [4, 2], [7, 2], [9, 3], [24, 3], [7, 4], [7, 4], [22, 6]]";"20"
"40";"38";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [7, 1], [12, 1], [14, 1], [37, 1], [5, 2], [6, 2], [12, 2], [20, 2], [25, 2], [31, 2], [22, 4], [37, 6], [23, 9], [31, 10], [22, 19]]";"20"
"22";"17";"[[2, 1], [4, 1], [5, 1], [5, 1], [6, 1], [6, 1], [4, 2], [4, 2], [5, 2], [5, 2], [5, 2], [6, 2], [6, 2], [3, 3], [4, 3], [4, 3], [6, 3], [13, 4], [14, 4], [13, 9]]";"20"
"10";"28";"[[1, 1], [1, 1], [1, 1], [1, 1], [3, 1], [6, 1], [6, 1], [6, 1], [6, 1], [7, 1], [7, 1], [8, 1], [15, 1], [22, 1], [22, 1], [28, 1], [5, 2], [5, 2], [7, 5], [17, 5]]";"20"
"35";"37";"[[1, 1], [1, 1], [18, 1], [18, 1], [37, 1], [2, 2], [3, 2], [4, 2], [5, 2], [9, 2], [13, 2], [13, 2], [15, 2], [16, 2], [18, 2], [15, 4], [10, 5], [24, 5], [34, 11], [28, 15]]";"20"
"12";"31";"[[1, 1], [2, 1], [2, 1], [3, 1], [4, 1], [6, 1], [6, 1], [7, 1], [9, 1], [12, 1], [19, 1], [21, 1], [24, 1], [27, 1], [31, 1], [4, 2], [4, 2], [20, 2], [6, 3], [31, 4]]";"20"
"39";"18";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [4, 1], [6, 1], [32, 1], [37, 1], [38, 1], [38, 1], [33, 2], [4, 3], [38, 4], [18, 8], [20, 8]]";"20"
"37";"15";"[[1, 1], [1, 1], [3, 1], [3, 1], [3, 1], [4, 1], [8, 1], [10, 1], [12, 1], [12, 1], [17, 1], [17, 1], [19, 1], [19, 1], [30, 1], [36, 1], [17, 3], [19, 3], [24, 3], [36, 5]]";"20"
"22";"33";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [5, 2], [6, 2], [33, 2], [6, 5], [6, 6], [6, 6], [9, 6], [33, 14]]";"20"
"17";"40";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [3, 1], [3, 1], [5, 1], [6, 1], [26, 1], [6, 2], [6, 2], [5, 3], [16, 3], [21, 3], [8, 4], [14, 4], [16, 7], [14, 9], [13, 12]]";"20"
"19";"31";"[[2, 1], [3, 1], [3, 1], [3, 1], [4, 1], [4, 1], [8, 1], [12, 1], [16, 1], [20, 1], [20, 1], [22, 1], [2, 2], [3, 2], [3, 2], [3, 2], [22, 2], [8, 7], [8, 8], [22, 13]]";"20"
"10";"25";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [4, 1], [6, 1], [12, 1], [17, 1], [19, 1], [19, 1], [25, 1], [17, 2], [6, 3], [8, 3], [12, 3], [6, 4]]";"20"
"23";"11";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [5, 1], [6, 1], [7, 1], [7, 1], [7, 1], [7, 1], [7, 1], [5, 2], [10, 2], [10, 4], [7, 5], [10, 5], [7, 6]]";"20"
"37";"35";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [3, 1], [5, 1], [22, 1], [25, 1], [25, 1], [25, 1], [36, 1], [36, 1], [25, 2], [36, 4], [36, 5], [11, 6], [25, 9], [25, 10], [18, 11]]";"20"
"39";"10";"[[1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [4, 1], [6, 1], [6, 1], [7, 1], [25, 1], [25, 1], [38, 1], [38, 1], [38, 1], [38, 1], [4, 2], [13, 2], [14, 2], [25, 2], [11, 4]]";"20"
"22";"21";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [4, 1], [4, 1], [5, 1], [8, 1], [9, 1], [14, 1], [6, 2], [7, 3], [9, 3], [6, 4], [9, 5], [16, 6], [9, 8], [14, 8]]";"20"
"36";"33";"[[1, 1], [2, 1], [2, 1], [3, 1], [4, 1], [6, 1], [10, 1], [12, 1], [18, 1], [22, 1], [22, 1], [2, 2], [20, 2], [22, 2], [22, 4], [11, 10], [12, 10], [13, 10], [22, 10], [22, 15]]";"20"
"10";"30";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [4, 1], [4, 1], [7, 1], [15, 1], [19, 1], [19, 1], [5, 2], [9, 3], [19, 3], [30, 4]]";"20"
"26";"22";"[[2, 1], [5, 1], [5, 1], [5, 1], [5, 1], [7, 1], [8, 1], [9, 1], [10, 1], [3, 2], [5, 2], [5, 2], [9, 2], [8, 3], [22, 3], [4, 4], [5, 4], [22, 5], [10, 6], [22, 8]]";"20"
"40";"29";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [4, 1], [4, 1], [6, 1], [7, 1], [9, 1], [37, 1], [25, 3], [6, 4], [25, 5], [9, 7], [21, 14], [25, 20]]";"20"
"26";"40";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [3, 1], [6, 1], [6, 1], [9, 1], [9, 1], [11, 1], [3, 2], [6, 2], [16, 4], [9, 5], [14, 8], [21, 8], [35, 8], [30, 10]]";"20"
"12";"18";"[[2, 1], [2, 1], [4, 1], [5, 1], [5, 1], [6, 1], [6, 1], [7, 1], [7, 1], [18, 1], [18, 1], [2, 2], [3, 2], [5, 2], [6, 2], [15, 2], [4, 3], [6, 3], [5, 4], [6, 4]]";"20"
"13";"30";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [5, 1], [7, 1], [9, 1], [22, 1], [22, 1], [23, 1], [3, 2], [6, 2], [24, 2], [3, 3], [23, 3], [7, 4], [30, 4]]";"20"
"32";"37";"[[1, 1], [1, 1], [2, 1], [3, 1], [4, 1], [4, 1], [4, 1], [6, 1], [7, 1], [10, 1], [12, 1], [12, 1], [16, 1], [33, 1], [32, 2], [10, 4], [33, 4], [33, 9], [12, 10], [26, 16]]";"20"
"25";"35";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [4, 1], [4, 1], [9, 1], [9, 1], [9, 1], [9, 1], [12, 1], [16, 1], [9, 2], [3, 3], [16, 4], [16, 5], [30, 9], [22, 16]]";"20"
"40";"19";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [6, 1], [6, 1], [11, 1], [12, 1], [13, 1], [14, 1], [16, 1], [16, 1], [21, 1], [25, 1], [26, 1], [39, 4], [39, 5], [39, 6]]";"20"
"34";"38";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [5, 1], [6, 1], [17, 1], [17, 1], [6, 3], [14, 3], [20, 4], [14, 6], [17, 7], [20, 10], [20, 10], [18, 13], [20, 13]]";"20"
"14";"31";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [3, 1], [3, 1], [4, 1], [6, 1], [7, 1], [8, 1], [18, 1], [19, 1], [31, 1], [4, 2], [19, 2], [24, 2], [5, 3], [31, 7]]";"20"
"16";"11";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [4, 1], [7, 1], [10, 1], [10, 1], [10, 1], [10, 1], [11, 1], [11, 1], [7, 2], [6, 4], [7, 7]]";"20"
"20";"38";"[[1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [4, 1], [4, 1], [13, 1], [13, 1], [38, 1], [38, 1], [2, 2], [2, 2], [12, 2], [14, 2], [4, 4], [15, 4], [15, 14], [21, 14]]";"20"
"15";"30";"[[1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [4, 1], [4, 1], [14, 1], [14, 1], [16, 1], [22, 1], [2, 2], [3, 2], [6, 3], [8, 3], [22, 3], [16, 4], [30, 6]]";"20"
"39";"26";"[[1, 1], [1, 1], [3, 1], [3, 1], [4, 1], [7, 1], [8, 1], [13, 1], [15, 1], [16, 1], [38, 1], [13, 2], [18, 2], [9, 3], [16, 3], [18, 3], [18, 5], [18, 6], [38, 6], [18, 16]]";"20"
"10";"19";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [4, 1], [4, 1], [6, 1], [6, 1], [6, 1], [8, 1], [10, 1], [13, 1], [19, 1], [6, 5], [11, 6]]";"20"
"34";"13";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [5, 1], [6, 1], [10, 1], [11, 1], [18, 1], [28, 1], [5, 2], [8, 2], [8, 4], [6, 5], [11, 5], [18, 5], [20, 6]]";"20"
"23";"29";"[[1, 1], [1, 1], [2, 1], [4, 1], [5, 1], [5, 1], [5, 1], [5, 1], [9, 1], [11, 1], [11, 1], [3, 2], [14, 2], [14, 2], [22, 3], [21, 4], [6, 5], [9, 5], [7, 7], [17, 16]]";"20"
"11";"13";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [4, 1], [5, 1], [5, 1], [6, 1], [6, 1], [6, 1], [6, 1], [6, 1], [13, 1], [3, 2], [6, 2], [10, 2], [11, 2], [6, 3]]";"20"
"21";"35";"[[1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [5, 1], [7, 1], [9, 1], [9, 1], [9, 1], [11, 1], [13, 1], [13, 1], [16, 1], [16, 1], [4, 2], [22, 3], [6, 4], [6, 4], [31, 16]]";"20"
"23";"37";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [4, 1], [5, 1], [6, 1], [8, 1], [9, 1], [10, 1], [13, 1], [16, 1], [26, 1], [36, 2], [26, 4], [10, 5], [32, 8], [33, 8]]";"20"
"39";"27";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [3, 1], [5, 1], [5, 1], [6, 1], [22, 1], [38, 1], [22, 2], [6, 3], [22, 3], [38, 5], [13, 6], [38, 15]]";"20"
