"rows";"cols";"tiles";"n_tiles";"external_id"
"17";"65";"[[4, 1], [14, 1], [3, 2], [7, 2], [10, 2], [12, 2], [5, 3], [8, 4], [9, 4], [11, 4], [14, 4], [11, 5], [11, 6], [13, 6], [9, 7], [10, 7], [12, 9], [14, 9], [12, 10], [14, 11]]";"20";"23314"
"29";"53";"[[5, 1], [11, 1], [15, 1], [16, 1], [8, 2], [10, 2], [12, 2], [16, 3], [14, 4], [12, 5], [15, 5], [14, 6], [10, 7], [13, 7], [17, 7], [10, 8], [16, 9], [17, 9], [15, 14], [16, 15]]";"20";"23658"
"29";"53";"[[8, 1], [9, 2], [7, 3], [9, 3], [9, 4], [14, 4], [9, 5], [11, 5], [11, 7], [14, 7], [9, 8], [11, 8], [13, 8], [14, 8], [11, 9], [12, 9], [13, 9], [14, 9], [13, 10], [14, 10]]";"20";"23300"
"22";"43";"[[3, 1], [8, 1], [9, 1], [13, 1], [14, 1], [5, 2], [8, 2], [10, 2], [12, 2], [6, 3], [14, 3], [5, 4], [8, 4], [8, 5], [12, 6], [14, 6], [12, 7], [14, 10], [13, 11], [14, 11]]";"20";"23335"
"22";"43";"[[4, 1], [5, 1], [10, 1], [7, 2], [8, 2], [10, 2], [13, 2], [11, 3], [12, 3], [14, 3], [6, 4], [10, 4], [11, 4], [12, 4], [14, 4], [12, 6], [10, 8], [14, 9], [12, 10], [13, 10]]";"20";"23299"
"21";"61";"[[2, 1], [7, 1], [7, 3], [10, 3], [12, 3], [14, 3], [13, 4], [14, 4], [6, 5], [12, 5], [11, 6], [13, 6], [10, 7], [12, 7], [9, 8], [10, 9], [13, 9], [14, 9], [11, 10], [12, 11]]";"20";"23298"
"17";"70";"[[14, 1], [3, 2], [5, 2], [12, 2], [15, 2], [7, 3], [8, 3], [12, 3], [14, 3], [5, 4], [8, 4], [11, 4], [14, 4], [13, 7], [14, 7], [10, 9], [11, 9], [12, 11], [15, 11], [13, 12]]";"20";"23450"
"17";"70";"[[14, 1], [12, 2], [4, 3], [9, 3], [14, 3], [7, 4], [9, 4], [11, 4], [7, 5], [12, 5], [13, 5], [9, 6], [10, 6], [8, 7], [9, 7], [14, 7], [12, 8], [14, 9], [11, 10], [14, 10]]";"20";"23350"
"17";"70";"[[3, 1], [4, 1], [9, 1], [14, 1], [9, 2], [14, 2], [9, 3], [10, 3], [12, 3], [13, 3], [14, 3], [8, 4], [13, 5], [13, 6], [13, 8], [10, 9], [12, 10], [14, 10], [13, 11], [14, 12]]";"20";"23296"
"25";"53";"[[7, 1], [5, 3], [7, 3], [8, 3], [13, 3], [10, 4], [14, 4], [9, 5], [10, 5], [11, 5], [10, 6], [11, 6], [14, 6], [11, 7], [13, 7], [9, 8], [10, 9], [12, 9], [13, 11], [14, 13]]";"20";"23295"
"19";"61";"[[8, 1], [13, 1], [13, 2], [6, 3], [8, 3], [13, 3], [14, 3], [5, 4], [8, 4], [14, 4], [10, 5], [11, 5], [14, 5], [10, 6], [13, 6], [10, 7], [13, 7], [12, 9], [13, 11], [13, 12]]";"20";"23294"
"17";"71";"[[6, 1], [9, 1], [5, 2], [8, 2], [13, 2], [4, 3], [11, 3], [9, 4], [7, 5], [9, 5], [13, 5], [10, 6], [13, 6], [9, 7], [10, 7], [10, 8], [12, 8], [13, 9], [14, 12], [14, 13]]";"20";"23291"
"30";"38";"[[3, 1], [14, 1], [8, 2], [10, 2], [4, 3], [6, 3], [10, 3], [14, 3], [12, 4], [14, 4], [10, 5], [14, 5], [13, 6], [9, 7], [9, 8], [10, 8], [14, 8], [11, 9], [13, 9], [14, 10]]";"20";"23288"
"31";"37";"[[9, 1], [11, 1], [9, 2], [8, 3], [11, 3], [14, 3], [7, 4], [14, 4], [8, 5], [10, 5], [8, 6], [9, 6], [10, 6], [13, 6], [11, 7], [13, 7], [14, 7], [10, 9], [12, 9], [12, 11]]";"20";"23287"
"19";"53";"[[2, 1], [4, 1], [5, 1], [8, 1], [12, 1], [5, 2], [6, 3], [10, 3], [13, 3], [6, 4], [11, 4], [11, 5], [12, 5], [8, 7], [12, 7], [14, 7], [11, 8], [12, 9], [13, 10], [12, 11]]";"20";"23284"
"19";"48";"[[2, 1], [4, 1], [9, 1], [12, 1], [7, 2], [14, 2], [5, 3], [9, 3], [11, 3], [9, 4], [13, 4], [8, 5], [9, 5], [11, 5], [13, 5], [8, 6], [9, 7], [14, 7], [11, 10], [13, 12]]";"20";"23283"
"31";"32";"[[4, 1], [12, 1], [7, 2], [6, 3], [9, 3], [5, 4], [6, 4], [7, 4], [8, 4], [11, 4], [11, 5], [13, 5], [8, 6], [10, 6], [12, 6], [8, 7], [13, 7], [13, 8], [12, 9], [11, 10]]";"20";"23276"
"16";"64";"[[3, 1], [8, 1], [13, 1], [7, 2], [11, 2], [5, 3], [10, 3], [11, 3], [12, 3], [8, 4], [9, 4], [11, 4], [11, 5], [10, 6], [13, 6], [11, 7], [11, 8], [13, 9], [12, 10], [13, 11]]";"20";"23264"
"19";"56";"[[4, 1], [5, 1], [14, 1], [11, 2], [4, 3], [5, 3], [12, 3], [14, 3], [5, 4], [9, 4], [14, 4], [7, 5], [7, 6], [10, 6], [11, 6], [12, 7], [9, 8], [15, 8], [13, 11], [15, 12]]";"20";"23398"
"19";"56";"[[3, 1], [9, 1], [13, 1], [5, 2], [6, 2], [8, 2], [12, 3], [13, 3], [10, 4], [12, 4], [14, 4], [8, 6], [9, 6], [10, 6], [11, 6], [9, 8], [12, 8], [13, 8], [14, 9], [13, 12]]";"20";"23363"
"19";"56";"[[9, 2], [11, 2], [8, 3], [9, 3], [11, 3], [12, 3], [6, 4], [7, 4], [10, 4], [11, 4], [12, 4], [6, 5], [7, 6], [11, 6], [8, 7], [12, 7], [9, 8], [12, 9], [13, 10], [12, 11]]";"20";"23263"
"13";"69";"[[2, 1], [4, 1], [10, 1], [8, 2], [9, 2], [10, 2], [11, 2], [4, 3], [8, 3], [9, 4], [10, 4], [11, 4], [13, 4], [13, 5], [8, 6], [8, 7], [12, 8], [13, 8], [12, 9], [12, 10]]";"20";"23259"
"27";"36";"[[6, 1], [8, 1], [13, 1], [3, 2], [4, 2], [9, 2], [11, 2], [12, 2], [8, 3], [9, 3], [11, 3], [12, 5], [8, 7], [9, 7], [9, 8], [10, 8], [10, 9], [11, 9], [12, 10], [13, 11]]";"20";"23256"
"22";"38";"[[10, 1], [13, 1], [7, 2], [10, 2], [11, 2], [6, 3], [11, 3], [12, 3], [7, 4], [10, 4], [11, 4], [13, 4], [7, 5], [10, 5], [7, 6], [8, 6], [13, 6], [11, 7], [9, 8], [13, 8]]";"20";"23252"
"15";"55";"[[2, 1], [5, 1], [6, 1], [9, 1], [4, 2], [6, 2], [7, 2], [8, 2], [10, 3], [13, 3], [7, 4], [10, 4], [11, 4], [9, 5], [11, 5], [10, 7], [12, 7], [10, 9], [12, 9], [12, 10]]";"20";"23250"
"19";"51";"[[3, 1], [10, 1], [11, 1], [12, 1], [3, 2], [9, 2], [5, 4], [12, 4], [13, 4], [9, 5], [9, 6], [10, 6], [11, 6], [13, 6], [8, 7], [11, 7], [13, 7], [9, 8], [10, 8], [11, 10]]";"20";"23247"
"29";"30";"[[3, 1], [4, 1], [12, 1], [4, 2], [12, 2], [4, 3], [6, 3], [7, 3], [8, 3], [6, 4], [12, 4], [10, 5], [11, 5], [13, 5], [9, 6], [10, 6], [10, 7], [11, 8], [11, 10], [12, 10]]";"20";"23240"
"27";"39";"[[5, 1], [9, 1], [10, 1], [7, 2], [8, 2], [4, 3], [5, 3], [6, 3], [7, 3], [11, 3], [8, 5], [8, 6], [8, 7], [11, 7], [13, 7], [13, 8], [11, 9], [11, 10], [12, 11], [13, 11]]";"20";"23233"
"21";"49";"[[3, 1], [8, 1], [11, 1], [12, 1], [7, 2], [10, 2], [11, 2], [6, 3], [11, 3], [11, 4], [7, 6], [8, 6], [8, 7], [9, 7], [12, 7], [12, 8], [13, 8], [11, 9], [12, 10], [12, 11]]";"20";"23257"
"21";"49";"[[3, 1], [8, 1], [13, 1], [4, 2], [9, 2], [8, 3], [11, 3], [9, 4], [13, 4], [6, 5], [7, 5], [7, 6], [11, 6], [12, 6], [8, 7], [12, 7], [11, 9], [12, 9], [11, 10], [12, 11]]";"20";"23234"
"21";"49";"[[2, 1], [5, 1], [6, 1], [8, 1], [12, 1], [13, 1], [4, 3], [9, 3], [8, 4], [13, 4], [11, 5], [12, 5], [9, 6], [12, 6], [9, 8], [10, 8], [12, 9], [13, 9], [11, 10], [12, 11]]";"20";"23228"
"19";"40";"[[5, 1], [7, 1], [8, 1], [11, 1], [12, 1], [5, 2], [6, 2], [11, 2], [12, 2], [5, 3], [13, 3], [5, 4], [11, 4], [7, 5], [7, 6], [10, 7], [10, 8], [11, 8], [12, 8], [12, 10]]";"20";"23225"
"20";"53";"[[4, 1], [8, 1], [11, 1], [14, 1], [4, 2], [11, 2], [13, 2], [9, 3], [11, 3], [6, 4], [12, 4], [6, 5], [10, 5], [10, 6], [13, 6], [9, 7], [14, 8], [12, 11], [14, 11], [13, 12]]";"20";"23286"
"20";"53";"[[2, 1], [4, 1], [12, 1], [3, 2], [5, 2], [4, 3], [7, 3], [7, 4], [13, 4], [11, 5], [11, 6], [12, 6], [8, 7], [9, 7], [11, 7], [12, 7], [9, 8], [12, 9], [13, 9], [13, 11]]";"20";"23219"
"23";"49";"[[5, 2], [6, 2], [8, 2], [4, 3], [6, 3], [7, 3], [9, 3], [12, 3], [6, 4], [12, 4], [11, 5], [12, 5], [12, 6], [8, 7], [9, 7], [13, 7], [10, 9], [13, 9], [13, 11], [13, 12]]";"20";"23244"
"23";"49";"[[9, 1], [4, 2], [8, 2], [13, 2], [5, 3], [6, 3], [11, 3], [12, 3], [6, 4], [9, 4], [6, 5], [11, 6], [8, 7], [10, 7], [12, 7], [13, 7], [10, 8], [13, 10], [13, 11], [13, 12]]";"20";"23218"
"19";"59";"[[11, 1], [12, 1], [7, 2], [12, 2], [5, 3], [8, 3], [9, 3], [10, 3], [8, 4], [10, 4], [13, 4], [9, 5], [9, 6], [12, 6], [13, 7], [11, 8], [13, 8], [11, 10], [12, 10], [13, 12]]";"20";"23235"
"19";"59";"[[3, 1], [7, 1], [10, 1], [13, 1], [3, 2], [8, 2], [6, 4], [10, 4], [6, 5], [7, 5], [11, 6], [13, 6], [8, 7], [9, 7], [13, 7], [12, 8], [12, 9], [13, 9], [13, 10], [12, 11]]";"20";"23210"
"20";"58";"[[5, 1], [11, 1], [6, 2], [7, 2], [11, 2], [13, 2], [8, 4], [8, 5], [9, 5], [10, 5], [11, 5], [13, 5], [8, 7], [11, 7], [9, 8], [11, 9], [13, 9], [11, 10], [12, 10], [12, 11]]";"20";"23203"
"23";"43";"[[3, 1], [4, 1], [12, 1], [3, 2], [4, 2], [7, 2], [13, 3], [7, 4], [8, 4], [9, 4], [10, 4], [13, 5], [7, 6], [9, 6], [12, 6], [9, 7], [11, 8], [11, 10], [13, 10], [13, 11]]";"20";"23201"
"14";"77";"[[13, 1], [7, 2], [12, 2], [4, 3], [13, 3], [6, 4], [8, 4], [9, 4], [11, 4], [12, 4], [7, 5], [10, 5], [9, 6], [8, 7], [11, 7], [12, 7], [13, 7], [12, 9], [13, 9], [12, 10]]";"20";"23222"
"14";"77";"[[3, 2], [5, 2], [10, 2], [11, 2], [6, 3], [10, 3], [11, 3], [7, 4], [11, 4], [13, 4], [6, 5], [8, 5], [9, 5], [13, 6], [9, 7], [13, 7], [11, 9], [13, 9], [12, 10], [12, 11]]";"20";"23195"
"14";"73";"[[6, 1], [9, 1], [3, 2], [13, 2], [7, 3], [8, 3], [11, 3], [9, 4], [12, 4], [8, 5], [9, 5], [10, 5], [8, 6], [9, 6], [13, 6], [10, 7], [10, 8], [11, 9], [13, 9], [12, 11]]";"20";"23253"
"14";"73";"[[8, 1], [9, 1], [10, 1], [12, 1], [4, 3], [5, 3], [7, 3], [9, 3], [13, 3], [10, 4], [9, 6], [10, 6], [13, 6], [9, 7], [11, 7], [13, 7], [9, 8], [12, 8], [12, 9], [13, 10]]";"20";"23216"
"14";"73";"[[4, 1], [5, 1], [6, 1], [9, 1], [12, 1], [8, 2], [11, 2], [5, 3], [8, 3], [9, 3], [10, 3], [6, 5], [8, 6], [10, 7], [13, 8], [11, 9], [12, 9], [12, 10], [13, 10], [13, 11]]";"20";"23190"
"17";"58";"[[3, 1], [4, 1], [6, 1], [8, 1], [9, 1], [13, 1], [13, 2], [13, 3], [10, 4], [8, 5], [11, 5], [13, 5], [9, 6], [10, 6], [8, 7], [9, 7], [13, 7], [11, 8], [11, 10], [13, 12]]";"20";"23266"
"17";"58";"[[3, 1], [5, 1], [8, 1], [10, 1], [8, 2], [11, 2], [6, 3], [7, 3], [9, 3], [12, 3], [7, 4], [11, 5], [13, 5], [11, 6], [9, 7], [13, 7], [10, 8], [12, 8], [12, 10], [13, 12]]";"20";"23188"
"23";"58";"[[11, 1], [4, 2], [7, 2], [13, 2], [5, 3], [11, 3], [13, 4], [6, 5], [12, 5], [10, 6], [11, 6], [12, 6], [10, 7], [12, 7], [12, 8], [12, 9], [11, 10], [12, 10], [13, 11], [13, 12]]";"20";"23187"
"18";"71";"[[5, 1], [6, 1], [15, 1], [8, 2], [10, 2], [12, 2], [6, 3], [11, 3], [13, 3], [15, 3], [16, 3], [13, 4], [16, 4], [7, 6], [15, 8], [12, 9], [13, 9], [11, 10], [13, 12], [16, 15]]";"20";"23484"
"18";"71";"[[8, 1], [9, 1], [13, 1], [12, 2], [12, 3], [6, 4], [8, 4], [9, 4], [12, 4], [7, 5], [15, 5], [12, 6], [14, 6], [10, 7], [12, 7], [10, 8], [11, 9], [15, 10], [13, 11], [13, 12]]";"20";"23401"
"18";"71";"[[2, 1], [5, 1], [4, 2], [13, 2], [8, 3], [13, 3], [5, 4], [10, 4], [12, 4], [8, 5], [10, 6], [11, 7], [11, 8], [12, 8], [13, 8], [10, 9], [12, 9], [13, 9], [13, 10], [13, 12]]";"20";"23185"
"20";"62";"[[5, 1], [6, 1], [11, 1], [9, 2], [9, 4], [11, 4], [9, 5], [7, 6], [9, 6], [10, 6], [11, 6], [8, 7], [9, 7], [11, 7], [13, 7], [13, 8], [10, 9], [11, 9], [13, 10], [13, 11]]";"20";"23183"
"14";"59";"[[6, 1], [9, 1], [10, 1], [12, 1], [7, 2], [11, 2], [9, 3], [12, 3], [6, 4], [7, 4], [9, 4], [10, 4], [11, 4], [12, 4], [12, 5], [7, 6], [9, 8], [12, 8], [10, 9], [11, 10]]";"20";"23176"
"13";"65";"[[6, 1], [7, 1], [11, 1], [12, 1], [8, 2], [9, 2], [12, 2], [9, 3], [8, 4], [9, 4], [10, 4], [10, 5], [7, 6], [9, 6], [12, 6], [10, 7], [11, 7], [9, 8], [10, 8], [11, 9]]";"20";"23175"
"23";"41";"[[5, 1], [5, 2], [6, 2], [7, 2], [11, 2], [9, 3], [10, 3], [11, 3], [6, 4], [12, 4], [8, 5], [10, 5], [11, 5], [7, 6], [9, 7], [10, 7], [12, 7], [12, 8], [12, 9], [11, 10]]";"20";"23125"
"23";"41";"[[3, 1], [5, 1], [13, 1], [7, 2], [8, 2], [9, 2], [10, 2], [9, 3], [12, 3], [9, 4], [10, 4], [11, 4], [12, 5], [8, 6], [11, 6], [11, 7], [13, 7], [11, 9], [11, 10], [12, 10]]";"20";"23213"
"19";"45";"[[2, 1], [4, 1], [8, 1], [10, 1], [4, 2], [6, 2], [10, 2], [6, 3], [6, 4], [7, 4], [10, 4], [11, 4], [11, 5], [12, 5], [9, 7], [9, 8], [11, 8], [10, 9], [11, 9], [11, 10]]";"20";"23127"
"25";"38";"[[6, 1], [12, 1], [3, 2], [5, 2], [9, 2], [11, 2], [4, 3], [12, 3], [5, 4], [6, 4], [9, 5], [7, 6], [8, 6], [10, 6], [8, 7], [12, 7], [11, 9], [12, 9], [11, 10], [12, 11]]";"20";"23133"
"25";"38";"[[6, 1], [11, 1], [13, 1], [4, 3], [5, 3], [9, 3], [11, 3], [6, 4], [11, 4], [13, 4], [6, 5], [11, 5], [10, 6], [11, 6], [12, 6], [13, 6], [8, 7], [12, 7], [13, 8], [12, 9]]";"20";"23200"
"28";"37";"[[5, 1], [6, 1], [11, 1], [8, 2], [12, 2], [4, 3], [12, 3], [6, 4], [7, 4], [8, 4], [6, 5], [7, 6], [9, 6], [11, 6], [12, 7], [12, 8], [12, 9], [11, 10], [12, 10], [12, 11]]";"20";"23135"
"22";"41";"[[5, 1], [8, 1], [8, 2], [4, 3], [6, 3], [8, 3], [9, 3], [10, 3], [8, 4], [10, 4], [11, 4], [12, 4], [7, 5], [8, 5], [8, 6], [8, 7], [10, 8], [11, 9], [12, 9], [12, 11]]";"20";"23141"
"29";"35";"[[2, 1], [4, 1], [7, 1], [3, 2], [4, 2], [7, 2], [6, 3], [11, 3], [12, 3], [5, 4], [7, 5], [9, 6], [11, 6], [9, 7], [10, 8], [11, 9], [12, 9], [11, 10], [12, 10], [12, 11]]";"20";"23146"
"29";"35";"[[4, 1], [6, 1], [9, 1], [10, 1], [4, 2], [8, 2], [10, 2], [7, 3], [9, 3], [11, 4], [12, 4], [9, 5], [10, 5], [9, 7], [9, 8], [11, 8], [13, 8], [13, 9], [12, 10], [13, 11]]";"20";"23186"
"29";"35";"[[3, 1], [5, 1], [8, 1], [11, 1], [12, 1], [13, 1], [9, 2], [5, 3], [8, 3], [10, 4], [11, 4], [12, 4], [7, 6], [11, 6], [11, 7], [11, 8], [12, 8], [13, 10], [12, 11], [13, 11]]";"20";"23379"
"29";"35";"[[4, 1], [5, 1], [6, 1], [9, 1], [10, 1], [12, 1], [15, 1], [16, 1], [7, 2], [10, 2], [8, 3], [11, 3], [9, 5], [7, 6], [10, 6], [14, 6], [16, 7], [14, 9], [14, 10], [17, 14]]";"20";"23589"
"20";"44";"[[3, 1], [4, 1], [6, 1], [8, 1], [5, 2], [6, 3], [10, 3], [11, 3], [6, 4], [9, 4], [10, 4], [12, 4], [7, 5], [12, 5], [11, 6], [9, 7], [10, 8], [11, 8], [12, 8], [12, 11]]";"20";"23148"
"21";"47";"[[6, 1], [12, 1], [5, 2], [7, 2], [10, 2], [4, 3], [5, 3], [10, 3], [12, 3], [5, 4], [7, 4], [12, 4], [12, 5], [12, 6], [11, 7], [10, 8], [12, 8], [11, 9], [12, 10], [12, 11]]";"20";"23160"
"27";"37";"[[2, 1], [12, 1], [7, 2], [9, 2], [5, 3], [10, 3], [5, 4], [9, 5], [10, 5], [11, 5], [12, 5], [9, 6], [11, 6], [8, 7], [9, 7], [11, 7], [12, 7], [9, 8], [12, 8], [11, 10]]";"20";"23163"
"27";"37";"[[5, 1], [13, 1], [9, 2], [12, 2], [12, 3], [13, 3], [6, 4], [9, 4], [11, 4], [12, 4], [13, 4], [8, 5], [10, 5], [11, 5], [11, 6], [8, 7], [9, 8], [10, 9], [11, 9], [12, 11]]";"20";"23280"
"15";"73";"[[9, 1], [11, 1], [12, 1], [6, 2], [9, 2], [7, 3], [8, 4], [6, 5], [9, 5], [12, 5], [10, 6], [11, 6], [9, 7], [11, 7], [12, 7], [11, 8], [10, 9], [11, 9], [12, 9], [11, 10]]";"20";"23168"
"15";"73";"[[9, 1], [6, 2], [7, 2], [5, 3], [12, 3], [13, 3], [8, 4], [12, 4], [7, 5], [10, 5], [12, 5], [11, 6], [12, 6], [13, 6], [9, 7], [12, 7], [10, 8], [11, 8], [13, 8], [11, 10]]";"20";"23271"
"15";"73";"[[11, 1], [12, 1], [6, 2], [8, 2], [13, 2], [5, 3], [11, 3], [13, 3], [6, 4], [11, 4], [6, 5], [7, 6], [8, 6], [11, 6], [9, 8], [12, 8], [13, 8], [13, 9], [12, 10], [14, 12]]";"20";"23374"
"20";"41";"[[3, 1], [7, 1], [9, 1], [11, 1], [3, 2], [4, 3], [5, 3], [8, 3], [11, 3], [12, 3], [9, 4], [11, 4], [6, 5], [9, 5], [8, 6], [11, 6], [9, 7], [10, 8], [12, 10], [12, 11]]";"20";"23171"
"21";"37";"[[2, 1], [11, 1], [3, 2], [4, 2], [9, 2], [5, 3], [11, 3], [12, 3], [5, 4], [7, 4], [8, 4], [9, 4], [6, 5], [8, 5], [9, 6], [10, 6], [12, 7], [10, 8], [11, 8], [12, 8]]";"20";"23108"
"23";"38";"[[9, 1], [10, 1], [12, 1], [5, 2], [6, 2], [8, 2], [10, 2], [10, 3], [11, 3], [6, 4], [7, 4], [7, 5], [10, 5], [9, 6], [8, 7], [11, 7], [9, 8], [12, 8], [11, 10], [12, 10]]";"20";"23137"
"23";"38";"[[4, 1], [6, 1], [10, 1], [3, 2], [5, 2], [11, 2], [7, 3], [8, 3], [10, 3], [9, 4], [10, 5], [11, 5], [8, 6], [10, 6], [11, 6], [10, 7], [11, 7], [9, 8], [11, 9], [12, 9]]";"20";"23106"
"20";"47";"[[3, 1], [7, 1], [9, 1], [12, 1], [5, 2], [8, 2], [9, 3], [8, 4], [11, 4], [7, 5], [9, 5], [12, 5], [7, 6], [10, 6], [9, 7], [11, 7], [10, 8], [11, 8], [11, 10], [12, 10]]";"20";"23142"
"20";"47";"[[2, 1], [6, 1], [12, 1], [4, 2], [5, 2], [8, 2], [11, 2], [12, 2], [12, 3], [6, 4], [7, 4], [9, 4], [11, 5], [8, 7], [11, 7], [11, 8], [10, 9], [12, 9], [11, 10], [12, 11]]";"20";"23111"
"20";"47";"[[2, 1], [8, 1], [10, 2], [11, 2], [4, 3], [6, 3], [7, 3], [9, 3], [10, 3], [11, 3], [12, 3], [6, 4], [9, 5], [10, 5], [11, 5], [11, 8], [11, 9], [12, 9], [11, 10], [12, 11]]";"20";"23102"
"12";"67";"[[2, 1], [6, 1], [11, 1], [6, 2], [8, 2], [10, 2], [11, 2], [9, 3], [12, 3], [6, 4], [10, 4], [12, 4], [6, 5], [8, 5], [10, 5], [9, 6], [9, 8], [12, 8], [10, 9], [12, 9]]";"20";"23097"
"14";"63";"[[2, 1], [6, 1], [8, 1], [10, 1], [4, 2], [6, 2], [7, 2], [11, 2], [5, 3], [10, 4], [12, 4], [7, 5], [9, 5], [10, 5], [11, 5], [10, 7], [10, 8], [11, 10], [12, 10], [12, 11]]";"20";"23096"
